	target
7928	1
5557	0
10238	1
8162	0
3980	0
1498	0
972	0
7760	1
10530	1
3392	0
4681	1
11349	1
9962	0
10712	0
9298	0
11234	0
11066	0
9591	1
363	0
2808	0
10519	0
3340	1
2724	0
11274	0
2718	1
5641	0
7940	1
918	0
10682	1
4137	1
9914	1
1624	1
6824	0
5052	1
7287	1
992	0
5799	0
5103	1
9764	1
9259	1
8231	1
7791	0
6789	1
6921	0
4258	1
724	0
10735	1
4045	1
4547	1
7051	1
7895	0
4266	0
7197	1
6573	0
1609	0
6319	1
7764	1
4950	1
10231	1
11317	0
5288	1
2688	1
4209	0
2105	1
10954	1
1642	1
5154	1
4626	0
8285	0
4506	1
9646	0
9617	0
2859	1
3263	0
5448	1
4185	1
2694	0
463	1
4907	1
3459	0
91	0
1612	1
9380	0
6986	0
4022	0
1717	0
9912	1
5487	1
4019	0
4623	0
5743	1
3637	1
6855	1
4446	0
6918	0
5592	1
4127	0
3266	0
4081	1
1364	0
6263	0
873	0
9317	1
7740	1
10583	1
6372	0
2386	0
1611	1
1673	0
6524	1
5622	1
10371	1
7577	0
11150	1
1360	0
8076	0
8328	0
5434	0
2690	0
4920	0
4110	0
5314	0
6461	1
2882	1
6931	0
1423	1
1107	0
7586	0
8596	0
1689	1
1625	1
4058	0
8682	0
2397	1
8531	1
8214	0
8084	0
5428	0
5336	0
2969	1
7103	0
614	1
4651	0
6352	1
5789	1
9627	0
9439	1
10511	0
6184	1
5869	0
7759	1
587	1
52	0
11194	0
879	1
4857	0
10971	1
6554	0
9626	1
4270	1
8911	0
2281	1
7614	0
10309	1
2103	0
9335	0
4283	1
1894	1
2691	1
9840	0
8193	0
5349	1
277	0
6171	1
10585	0
5354	0
9927	1
5834	0
7986	1
6873	0
7490	1
10782	0
6833	0
2786	1
11313	1
8841	1
5335	1
316	0
1713	0
5910	0
6189	1
6254	0
4098	0
3353	1
5368	1
7224	0
8820	0
3153	0
744	0
6013	0
4126	0
6528	0
8466	0
1370	0
1620	0
7804	1
1412	1
8729	1
1079	1
5946	0
8107	0
7511	1
9063	1
4136	1
4419	1
717	0
1940	1
2901	1
4245	0
10889	1
9349	1
6558	1
8821	0
3396	0
11346	0
10393	1
4199	1
2985	0
6980	1
5648	1
5271	0
3374	0
1810	0
8587	1
8387	0
3182	0
3575	0
912	0
584	0
6671	1
6595	1
10603	1
10924	0
6805	0
9970	0
1878	1
8216	0
4339	1
10648	0
3753	0
833	0
4253	0
6477	0
707	1
9910	0
119	0
9573	1
243	1
10330	1
457	1
10593	0
41	0
5666	0
5421	0
4689	0
4776	0
5308	0
3780	0
10594	0
2486	0
9156	1
4203	1
6318	1
348	1
6470	0
7475	0
5041	0
9653	1
8054	0
11158	1
4523	0
2138	0
7170	0
5029	0
6608	1
5048	0
11192	0
6096	0
7808	0
6924	1
2524	1
3402	1
4595	1
10495	1
2157	0
4598	0
3329	0
2261	1
3284	0
6655	1
7495	0
5193	0
4466	1
5056	1
621	0
5970	0
3359	0
6109	0
3749	1
6788	1
10824	0
9276	0
9158	1
8589	0
9414	0
10187	1
10944	0
6894	0
3134	0
4408	0
3308	0
8116	0
1843	1
8769	0
1831	1
4949	0
6219	1
11344	1
9797	1
3209	1
5160	0
893	0
3372	0
8223	1
236	1
7449	0
1421	1
5776	0
7659	0
1032	0
3644	1
7559	1
4238	0
9589	0
10939	1
8703	0
9138	1
4355	1
1575	0
2071	1
11279	0
8224	0
3652	1
8925	0
1807	1
915	1
890	0
894	1
3040	1
7201	0
3466	0
201	1
1172	0
440	1
11270	1
11127	0
1018	0
9197	1
967	1
5564	0
3680	1
8031	1
8892	0
5047	1
1890	1
7637	0
3942	0
9479	0
2040	0
4865	1
2430	0
10188	1
10639	0
8118	0
6952	1
7572	1
3309	1
7953	1
6123	1
3498	1
1676	1
4787	0
10704	0
2594	0
11425	1
7276	0
7110	0
6432	1
7457	0
9787	1
2159	1
7131	1
5136	0
4454	1
8127	1
4359	1
8399	1
2421	0
7992	1
1779	0
6198	1
6683	1
9856	0
7319	0
6088	0
3525	0
1356	0
3337	1
6085	0
3889	1
1818	0
5911	0
7211	1
6569	0
4349	1
1139	1
7990	1
8385	0
329	0
1054	1
10422	1
3546	1
7347	1
3297	1
10420	1
5979	0
3771	0
8866	0
7378	1
1160	1
5037	0
3455	0
9081	0
7271	1
238	1
9494	1
1008	1
4919	0
4709	0
770	1
9397	0
4940	1
6389	0
622	1
5996	1
4788	1
11204	1
4120	1
4735	0
5493	0
7379	0
3755	1
3158	0
8502	0
2095	0
9203	1
3603	0
2223	0
9874	1
10556	1
6337	0
9679	1
1384	1
6883	0
7741	0
406	1
2908	0
10335	1
8930	0
1872	0
2037	1
8744	0
8591	0
5156	1
954	0
8065	1
4319	1
8646	0
4191	0
2463	0
4400	0
5207	1
6091	0
4692	1
9068	1
7027	1
6762	0
328	0
4694	1
508	0
2636	0
9052	1
2890	1
758	0
5952	1
8324	1
6493	1
1445	1
11246	1
10607	0
3538	1
6586	0
7843	0
11025	1
1239	1
4728	1
10863	0
8766	0
1002	0
2468	1
8551	1
3689	0
1219	0
437	0
3696	1
2757	0
8277	1
7136	1
8095	1
9552	0
4147	0
4279	1
10457	1
6611	0
5994	1
4953	0
3821	0
745	0
9834	0
6210	0
9269	0
5609	1
1196	0
5054	0
10740	0
3855	1
10244	0
11121	1
7335	0
1188	0
452	0
6122	1
9067	1
335	0
1454	0
7250	0
7593	1
7866	0
6722	1
2952	0
5185	1
3627	1
922	1
9476	1
85	1
6570	0
5087	0
2432	0
7296	0
6988	1
5362	1
7111	0
9972	0
9458	1
8838	1
10512	0
6323	0
11163	0
4201	0
882	0
11038	0
3612	0
10268	0
8120	0
6313	0
4493	1
11427	1
4342	1
8183	1
5249	0
11334	0
6546	0
6443	1
1632	0
6806	0
4197	0
4727	1
6884	0
7771	1
9047	0
6796	0
5850	0
6446	1
9547	1
9402	1
4931	1
43	1
1511	1
4611	1
6642	1
6274	0
5269	1
8527	1
7640	0
2479	1
9449	1
10229	0
6338	1
5106	0
7166	0
2353	1
1858	0
481	1
3544	1
1645	0
8319	1
1267	0
5531	1
1133	0
7817	0
8463	1
10090	0
8640	0
2941	0
869	0
1877	0
6391	0
7306	1
3230	1
3173	0
9467	0
11256	0
5809	0
8718	1
5195	1
4519	1
8179	1
6317	1
5008	1
4960	0
7447	0
1174	0
8654	1
8651	1
4987	1
4801	1
1173	0
5097	1
450	0
5398	1
10193	1
410	1
865	0
5681	0
1393	1
6936	0
5831	1
4080	0
249	0
1026	1
4927	1
1262	0
491	0
3741	1
5926	1
8621	0
4421	0
5400	0
9778	0
7905	0
10691	0
9696	0
10975	0
2824	1
10049	0
1165	0
1881	1
10105	1
928	1
6110	1
2787	0
4648	0
10201	0
10352	1
10979	0
5784	1
4716	1
6362	1
11154	0
4107	0
1508	0
4204	1
10361	0
3086	0
2229	0
5406	1
10758	1
9946	0
2360	0
8770	1
5267	0
4230	1
10879	0
1892	1
2319	0
3633	0
10953	0
2598	0
7225	0
5222	0
10651	1
377	1
4014	1
9299	1
1701	0
4998	1
6795	1
809	1
2342	1
6733	0
8119	1
9285	1
1074	1
4225	0
10022	1
7868	0
223	0
3339	0
3072	0
1385	1
3991	1
8745	0
10204	1
9528	1
5881	0
4012	1
3321	0
10539	1
10120	1
4721	0
323	0
8947	1
7539	0
8165	0
2818	1
3896	1
10909	0
7101	1
8365	0
7503	1
10185	0
2060	1
5141	0
10653	1
5895	1
2490	1
7533	1
8083	1
9117	1
3246	1
6163	0
11097	0
6499	0
7380	0
7209	1
6017	1
792	1
7944	0
5119	0
6701	0
4652	0
9808	0
7881	0
9921	1
6277	0
9159	0
1177	0
8721	0
6095	1
6843	0
5280	0
8704	1
6485	0
10490	0
9608	1
4811	0
2059	1
69	1
9585	1
4362	1
9229	1
11363	0
3493	0
4478	1
3656	0
373	0
9549	0
868	0
9277	1
3820	1
38	1
8757	1
7978	1
4616	0
8194	1
11052	0
